arc,id,name,size,sha16,tags,j3d
Demo01_00.arc,0x001a,demo01_link_cut00_bd_talk_l.bck,78240,b8e3a476ecfc10be,"anim,link_body",-1
Demo01_00.arc,0x001c,demo01_wb_cut99_gp_walk_l.bck,7200,b507039778107f10,"anim,beta_cast",-1
Demo01_00.arc,0x001b,demo01_ctz1_cut00_gp_talk_l.bmd,31072,a01739dc3ec05548,"beta_cast,model",0
Demo01_00.arc,0x001d,demo01_wb_cut99_gp_walk_l.bmd,68384,b72944ed0b60fa7d,"beta_cast,model",0
Demo01_00.arc,0x0025,demo01_link_cut00_bd_original_o.bmd,380576,8a1abe5947f531ed,"link_body,model,original",0
Demo01_00.arc,0x0033,demo01_wb_cut00_gp_original_o.bmd,77088,e64a458df70ff12a,"beta_cast,model,original",0
Demo01_00.arc,0x0034,demo01_link_cut00_bd_high_o.bmd,406272,20bc3b78b79f4eff,"high,link_body,model",0
Demo01_00.arc,0x001f,demo01_link_cut00_bd_sleep_o.bck,61856,19a8efa3695188af,"anim,link_body",-1
Demo01_00.arc,0x0023,demo01_link_cut04_bd_lookhand_o.bck,14912,cd39f127a1bcf94f,"anim,link_body",-1
Demo01_00.arc,0x0024,demo01_link_cut05_bd_turnround_o.bck,44704,9a8a6e4f73f3770b,"anim,link_body",-1
Demo01_00.arc,0x0026,demo01_link_cut06_bd_standup_o.bck,44864,561d7caf374de37d,"anim,link_body",-1
Demo01_00.arc,0x0027,demo01_link_cut07_bd_whistle_o.bck,60736,31ce6e1df372b41f,"anim,link_body",-1
Demo01_00.arc,0x0029,demo01_wb_cut08_bd_notice1_o.bck,2048,8d2ae6b16f73eb7c,"anim,beta_cast",-1
Demo01_00.arc,0x002a,demo01_wb_cut08_bd_notice2_o.bck,2048,e236ccec50587c6c,"anim,beta_cast",-1
Demo01_00.arc,0x002b,demo01_wb_cut08_bd_notice3_o.bck,2048,f9893bc0c82b2d7f,"anim,beta_cast",-1
Demo01_00.arc,0x002c,demo01_wb_cut05_bd_eat_o.bck,1920,90f6e555f9974d80,"anim,beta_cast",-1
Demo01_00.arc,0x002d,demo01_link_cut10_bd_lookaround_o.bck,41024,8c07d4eca5391d51,"anim,link_body",-1
Demo01_00.arc,0x002f,demo01_link_cut11_bd_lookaround_o.bck,48640,e276c9bd10d00a0d,"anim,link_body",-1
Demo01_00.arc,0x0030,demo01_link_cut12_bd_lookoutover_o.bck,43040,6514b008f80ae23a,"anim,link_body",-1
Demo01_00.arc,0x0032,demo01_link_cut13_bd_lookoutover_o.bck,52160,03d127f1b0c3dd65,"anim,link_body",-1
Demo01_00.arc,0x0020,demo01_link_cut00_bd_sleep_o.btk,768,8dfea0d2260f9399,"anim,link_body",-1
Demo01_00.arc,0x0028,demo01_link_cut07_bd_whistle_o.btk,384,0b5b57f7f684cc1f,"anim,link_body",-1
Demo01_00.arc,0x002e,demo01_link_cut10_bd_lookaround_o.btk,480,b48b848d0d562c30,"anim,link_body",-1
Demo01_00.arc,0x0031,demo01_link_cut12_bd_lookoutover_o.btk,512,80c6a965d35eff75,"anim,link_body",-1
Demo01_01.arc,0x0003,demo01_link_cut01_bd_1_l.bck,5600,c1f3e6a4c8725f6c,"anim,link_body",-1
Demo01_01.arc,0x0004,demo01_link_cut02_bd_1_o.bck,6368,f54470faa265a390,"anim,link_body",-1
